#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 276000      1.19e-01      2.51e-02      2.10e-03    7.4e-04
 278000      7.80e-01      8.79e-03      2.87e-02    7.4e-04
 280000      1.70e-01      9.08e-03      6.35e-03    7.0e-04
 282000      1.77e-01      4.33e-02      4.25e-03    7.0e-04
 284000      2.52e-01      5.50e-02      2.38e-03    7.0e-04
 286000      2.43e-02      3.64e-03      6.87e-04    7.0e-04
 288000      2.14e-01      2.18e-02      7.67e-03    7.0e-04
 290000      2.00e-01      1.75e-02      7.27e-03    7.0e-04
 292000      9.05e-01      1.03e-02      3.42e-02    7.0e-04
 294000      1.99e-01      2.26e-02      6.50e-03    7.0e-04
 296000      1.55e-01      3.07e-02      2.75e-03    7.0e-04
 298000      3.63e-01      2.45e-02      1.34e-02    7.0e-04
 300000      2.15e-01      3.53e-02      6.98e-03    7.0e-04
 302000      9.16e-01      2.55e-02      3.44e-02    7.0e-04
 304000      6.40e-02      5.85e-03      2.21e-03    7.0e-04
 306000      1.84e-01      1.62e-03      6.96e-03    7.0e-04
 308000      8.40e-01      2.94e-03      3.18e-02    7.0e-04
 310000      1.10e-01      1.39e-02      3.83e-03    7.0e-04
 312000      1.15e-01      5.66e-03      4.28e-03    7.0e-04
 314000      2.93e-01      5.96e-02      8.50e-03    7.0e-04
 316000      2.23e-01      4.17e-02      4.72e-03    7.0e-04
 318000      2.26e-01      4.80e-02      2.81e-03    7.0e-04
 320000      8.22e-01      2.25e-02      3.16e-02    6.6e-04
 322000      1.37e+00      3.41e-02      5.30e-02    6.6e-04
 324000      1.24e+00      1.97e-02      4.81e-02    6.6e-04
 326000      1.10e+00      7.42e-02      4.07e-02    6.6e-04
 328000      9.75e-01      2.02e-02      3.77e-02    6.6e-04
 330000      1.49e-01      8.92e-03      5.65e-03    6.6e-04
 332000      7.46e-01      5.95e-03      2.89e-02    6.6e-04
 334000      4.03e-01      5.00e-02      1.42e-02    6.6e-04
 336000      3.46e-01      1.62e-02      1.33e-02    6.6e-04
 338000      9.74e-02      5.40e-03      3.65e-03    6.6e-04
 340000      8.06e-02      6.00e-03      3.03e-03    6.6e-04
 342000      9.16e-01      1.67e-02      3.54e-02    6.6e-04
 344000      2.35e-01      1.38e-02      8.96e-03    6.6e-04
 346000      3.22e-01      4.07e-02      1.01e-02    6.6e-04
 348000      9.18e-02      5.69e-03      3.41e-03    6.6e-04
 350000      2.66e-01      8.89e-03      1.02e-02    6.6e-04
 352000      1.07e-01      3.07e-03      4.13e-03    6.6e-04
 354000      1.38e+00      1.42e-02      5.37e-02    6.6e-04
 356000      3.46e-01      5.64e-02      1.13e-02    6.6e-04
 358000      2.31e-01      5.60e-02      5.33e-03    6.6e-04
 360000      9.39e-01      5.15e-03      3.74e-02    6.3e-04
 362000      2.48e-01      2.53e-02      9.21e-03    6.3e-04
 364000      1.17e+00      4.72e-02      4.62e-02    6.3e-04
 366000      7.68e-01      6.41e-03      3.05e-02    6.3e-04
 368000      6.86e-01      2.42e-02      2.71e-02    6.3e-04
 370000      2.09e-01      3.63e-02      4.32e-03    6.3e-04
 372000      5.48e-01      4.13e-02      2.03e-02    6.3e-04
 374000      1.74e-01      1.09e-02      6.75e-03    6.3e-04
 376000      6.70e-01      1.73e-02      2.66e-02    6.3e-04
 378000      6.53e-01      3.25e-02      2.56e-02    6.3e-04
 380000      1.92e-01      1.53e-02      7.33e-03    6.3e-04
 382000      5.99e-01      5.54e-02      2.26e-02    6.3e-04
 384000      8.95e-01      2.10e-02      3.56e-02    6.3e-04
 386000      2.37e-01      2.74e-02      8.66e-03    6.3e-04
 388000      4.05e-01      8.72e-02      1.07e-02    6.3e-04
 390000      1.11e+00      2.77e-03      4.42e-02    6.3e-04
 392000      2.67e-01      5.82e-02      6.94e-03    6.3e-04
 394000      1.08e+00      9.75e-03      4.28e-02    6.3e-04
 396000      4.36e-02      7.05e-03      1.06e-03    6.3e-04
 398000      1.71e-01      2.14e-02      6.16e-03    6.3e-04
 400000      1.16e+00      2.61e-02      4.73e-02    6.0e-04
 402000      8.52e-01      1.63e-02      3.46e-02    6.0e-04
 404000      1.04e-01      1.73e-03      4.26e-03    6.0e-04
 406000      2.09e-01      2.28e-02      7.85e-03    6.0e-04
 408000      1.96e-01      1.29e-02      7.54e-03    6.0e-04
 410000      6.51e-01      1.99e-02      2.64e-02    6.0e-04
 412000      2.22e-01      2.18e-03      9.05e-03    6.0e-04
 414000      1.96e-01      3.04e-02      4.90e-03    6.0e-04
 416000      1.51e-01      7.35e-03      6.06e-03    6.0e-04
 418000      1.05e-01      5.79e-03      4.13e-03    6.0e-04
 420000      1.06e-01      1.41e-03      4.32e-03    6.0e-04
 422000      5.30e-02      9.61e-03      8.18e-04    6.0e-04
 424000      8.03e-01      4.20e-03      3.28e-02    6.0e-04
 426000      3.69e-01      5.75e-02      1.25e-02    6.0e-04
 428000      1.76e-01      3.42e-02      9.02e-04    6.0e-04
 430000      1.87e-01      4.85e-02      2.73e-03    6.0e-04
 432000      3.15e-01      3.34e-02      1.08e-02    6.0e-04
 434000      8.64e-01      9.82e-03      3.53e-02    6.0e-04
 436000      1.93e-01      4.52e-02      4.21e-03    6.0e-04
 438000      8.19e-01      8.65e-02      2.82e-02    6.0e-04
 440000      7.33e-01      6.15e-03      3.07e-02    5.7e-04
 442000      3.87e-01      1.23e-02      1.60e-02    5.7e-04
 444000      7.24e-01      7.82e-03      3.03e-02    5.7e-04
