#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 197000      1.08e-01      1.03e-02      4.74e-03    3.8e-04
 198000      6.57e-02      1.23e-02      1.84e-03    3.8e-04
 199000      5.31e-02      1.09e-02      1.06e-03    3.8e-04
 200000      1.41e-01      6.04e-03      7.36e-03    3.6e-04
 201000      1.31e-01      6.83e-03      6.74e-03    3.6e-04
 202000      9.11e-02      2.58e-03      4.75e-03    3.6e-04
 203000      7.14e-02      7.18e-03      3.00e-03    3.6e-04
 204000      3.98e-01      1.32e-02      2.08e-02    3.6e-04
 205000      4.04e-02      8.59e-03      5.39e-04    3.6e-04
 206000      4.77e-02      1.04e-02      1.79e-03    3.6e-04
 207000      3.15e-02      3.02e-03      1.50e-03    3.6e-04
 208000      4.30e-01      2.64e-02      2.22e-02    3.6e-04
 209000      1.56e-01      1.99e-02      7.48e-03    3.6e-04
 210000      2.13e-01      9.75e-03      1.11e-02    3.4e-04
 211000      8.13e-02      4.36e-03      4.26e-03    3.4e-04
 212000      1.11e-01      6.81e-03      5.62e-03    3.4e-04
 213000      6.83e-01      3.22e-03      3.70e-02    3.4e-04
 214000      1.37e-01      3.65e-03      7.32e-03    3.4e-04
 215000      1.17e-01      3.51e-02      1.41e-03    3.4e-04
 216000      3.82e-01      2.07e-02      2.00e-02    3.4e-04
 217000      5.00e-01      1.61e-02      2.68e-02    3.4e-04
 218000      1.32e-01      1.49e-03      7.13e-03    3.4e-04
 219000      1.92e-01      1.29e-02      9.59e-03    3.4e-04
 220000      6.86e-02      7.17e-03      3.05e-03    3.2e-04
 221000      3.07e-01      1.23e-02      1.69e-02    3.2e-04
 222000      1.14e-01      1.65e-03      6.29e-03    3.2e-04
 223000      5.90e-01      2.84e-03      3.27e-02    3.2e-04
 224000      1.32e-01      1.24e-02      6.99e-03    3.2e-04
 225000      6.43e-01      1.58e-02      3.56e-02    3.2e-04
 226000      1.19e-01      6.51e-03      6.42e-03    3.2e-04
 227000      1.37e-01      2.92e-02      4.68e-04    3.2e-04
 228000      1.04e-01      1.80e-02      3.42e-03    3.2e-04
 229000      9.90e-02      1.83e-03      5.47e-03    3.2e-04
 230000      3.01e-02      6.09e-03      4.89e-04    3.1e-04
 231000      9.70e-02      1.53e-03      5.50e-03    3.1e-04
 232000      7.08e-02      1.32e-03      4.02e-03    3.1e-04
 233000      3.38e-02      2.40e-03      1.81e-03    3.1e-04
 234000      6.71e-02      1.39e-02      7.18e-04    3.1e-04
 235000      6.47e-01      1.50e-02      3.68e-02    3.1e-04
 236000      2.40e-02      4.47e-03      6.52e-04    3.1e-04
 237000      5.51e-01      9.68e-03      3.13e-02    3.1e-04
 238000      1.39e-01      1.94e-02      7.01e-03    3.1e-04
 239000      2.76e-01      2.40e-02      1.43e-02    3.1e-04
 240000      7.01e-02      1.46e-02      2.42e-04    2.9e-04
 241000      2.23e-02      1.02e-03      1.25e-03    2.9e-04
 242000      6.71e-01      7.08e-03      3.92e-02    2.9e-04
 243000      5.07e-02      1.04e-02      5.83e-04    2.9e-04
 244000      2.03e-02      5.19e-03      5.99e-04    2.9e-04
 245000      4.80e-01      1.67e-02      2.80e-02    2.9e-04
 246000      1.15e-01      5.44e-03      6.62e-03    2.9e-04
 247000      4.89e-02      2.50e-03      2.82e-03    2.9e-04
 248000      1.89e-01      9.76e-04      1.10e-02    2.9e-04
 249000      4.39e-01      1.50e-02      2.55e-02    2.9e-04
 250000      5.58e-01      7.34e-03      3.34e-02    2.8e-04
 251000      1.66e-01      3.29e-02      7.35e-03    2.8e-04
 252000      1.97e-01      3.16e-02      7.47e-03    2.8e-04
 253000      3.46e-01      3.15e-03      2.07e-02    2.8e-04
 254000      2.47e-01      6.92e-03      1.47e-02    2.8e-04
 255000      1.98e-01      1.59e-02      1.04e-02    2.8e-04
 256000      1.24e-01      1.03e-02      7.10e-03    2.8e-04
 257000      1.29e-01      5.80e-03      7.38e-03    2.8e-04
 258000      2.15e-01      1.27e-02      1.23e-02    2.8e-04
 259000      1.56e-01      5.90e-03      9.30e-03    2.8e-04
 260000      3.53e-01      3.63e-02      2.03e-02    2.6e-04
 261000      4.63e-02      5.23e-03      2.62e-03    2.6e-04
 262000      1.92e-02      3.42e-03      9.34e-04    2.6e-04
 263000      1.11e-01      1.29e-02      6.27e-03    2.6e-04
 264000      1.23e-01      8.75e-03      7.32e-03    2.6e-04
 265000      2.69e-01      2.30e-02      1.58e-02    2.6e-04
 266000      2.26e-01      5.46e-03      1.38e-02    2.6e-04
 267000      2.38e-01      9.33e-03      1.45e-02    2.6e-04
 268000      9.96e-02      1.38e-02      4.53e-03    2.6e-04
 269000      1.61e-01      1.88e-02      6.54e-03    2.6e-04
 270000      1.14e-01      8.13e-03      6.71e-03    2.5e-04
 271000      4.05e-01      4.39e-02      2.16e-02    2.5e-04
 272000      4.34e-02      3.27e-03      2.38e-03    2.5e-04
 273000      3.73e-02      7.59e-03      7.75e-05    2.5e-04
 274000      1.09e-01      9.71e-03      6.53e-03    2.5e-04
 275000      1.14e-01      2.01e-02      3.59e-03    2.5e-04
 276000      3.56e-02      5.11e-03      1.59e-03    2.5e-04
 277000      1.59e-01      2.78e-03      9.97e-03    2.5e-04
 278000      7.06e-02      1.43e-02      5.24e-04    2.5e-04
 279000      1.93e-01      1.77e-02      1.02e-02    2.5e-04
 280000      6.00e-02      5.92e-03      3.39e-03    2.4e-04
 281000      4.86e-01      2.01e-02      3.08e-02    2.4e-04
 282000      3.37e-01      8.85e-03      2.16e-02    2.4e-04
 283000      1.45e-01      2.69e-03      9.39e-03    2.4e-04
 284000      1.15e-01      1.94e-02      4.08e-03    2.4e-04
 285000      3.89e-01      1.24e-03      2.52e-02    2.4e-04
 286000      3.53e-01      2.03e-02      2.24e-02    2.4e-04
 287000      7.45e-02      1.21e-03      4.80e-03    2.4e-04
 288000      2.62e-01      5.14e-03      1.69e-02    2.4e-04
 289000      4.18e-01      6.69e-03      2.70e-02    2.4e-04
 290000      1.19e-01      2.37e-02      5.89e-04    2.3e-04
 291000      1.24e-01      1.73e-02      7.19e-03    2.3e-04
 292000      4.37e-02      1.46e-04      2.90e-03    2.3e-04
 293000      2.61e-01      6.96e-03      1.72e-02    2.3e-04
 294000      3.43e-02      1.00e-03      2.26e-03    2.3e-04
 295000      8.61e-02      8.74e-03      4.48e-03    2.3e-04
 296000      3.11e-01      1.28e-02      2.04e-02    2.3e-04
 297000      3.23e-01      9.55e-03      2.12e-02    2.3e-04
 298000      5.68e-01      2.31e-02      3.70e-02    2.3e-04
 299000      2.98e-01      9.29e-03      1.97e-02    2.3e-04
 300000      5.17e-02      4.35e-03      3.19e-03    2.1e-04
