#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 193000      1.08e+00      3.66e-03      8.99e-02    1.4e-04
 194000      1.05e+00      2.18e-03      8.76e-02    1.4e-04
 195000      8.33e-01      2.53e-03      7.13e-02    1.4e-04
 196000      1.02e+00      9.63e-04      8.75e-02    1.4e-04
 197000      1.31e+00      1.15e-03      1.13e-01    1.4e-04
 198000      1.13e-01      4.14e-03      9.37e-03    1.4e-04
 199000      1.02e+00      9.67e-04      8.72e-02    1.4e-04
 200000      1.06e+00      1.38e-03      9.34e-02    1.3e-04
 201000      1.12e+00      7.96e-04      9.85e-02    1.3e-04
 202000      7.29e-01      1.43e-02      6.35e-02    1.3e-04
 203000      9.89e-01      2.97e-03      8.69e-02    1.3e-04
 204000      1.03e+00      3.41e-03      9.01e-02    1.3e-04
 205000      5.37e-01      5.48e-03      4.83e-02    1.2e-04
 206000      9.67e-01      7.94e-03      8.70e-02    1.2e-04
 207000      7.79e-01      1.12e-03      7.02e-02    1.2e-04
 208000      9.98e-01      8.64e-03      8.88e-02    1.2e-04
 209000      9.96e-01      5.97e-03      8.97e-02    1.2e-04
 210000      4.71e-01      3.47e-02      3.80e-02    1.2e-04
 211000      8.55e-01      7.54e-03      7.89e-02    1.2e-04
 212000      9.95e-01      2.23e-03      9.20e-02    1.2e-04
 213000      8.10e-01      4.44e-04      7.49e-02    1.2e-04
 214000      9.85e-01      7.53e-04      9.11e-02    1.2e-04
 215000      1.05e+00      7.52e-03      9.82e-02    1.1e-04
 216000      1.09e+00      9.27e-03      1.02e-01    1.1e-04
 217000      1.02e+00      2.29e-03      9.70e-02    1.1e-04
 218000      9.42e-01      8.34e-03      8.92e-02    1.1e-04
 219000      8.25e-01      1.98e-03      7.83e-02    1.1e-04
 220000      9.63e-01      6.18e-03      9.30e-02    1.0e-04
 221000      6.53e-01      2.36e-03      6.36e-02    1.0e-04
 222000      9.58e-01      1.95e-03      9.31e-02    1.0e-04
 223000      9.18e-01      3.13e-04      8.94e-02    1.0e-04
 224000      8.49e-01      2.35e-03      8.26e-02    1.0e-04
 225000      9.46e-01      2.39e-03      9.43e-02    9.9e-05
 226000      2.66e-01      1.84e-03      2.66e-02    9.9e-05
 227000      1.09e+00      3.92e-03      1.09e-01    9.9e-05
 228000      9.14e-01      1.55e-03      9.12e-02    9.9e-05
 229000      9.53e-01      2.47e-03      9.50e-02    9.9e-05
 230000      9.19e-01      6.38e-03      9.40e-02    9.4e-05
 231000      7.74e-01      1.66e-03      7.92e-02    9.4e-05
 232000      9.14e-01      1.32e-03      9.35e-02    9.4e-05
 233000      8.71e-01      9.05e-03      8.74e-02    9.4e-05
 234000      1.17e-01      2.82e-03      1.18e-02    9.4e-05
 235000      7.56e-01      1.12e-02      7.90e-02    9.0e-05
 236000      7.77e-01      4.56e-03      8.16e-02    9.0e-05
 237000      8.62e-01      4.32e-03      9.01e-02    9.0e-05
 238000      1.15e-01      2.87e-03      1.19e-02    9.0e-05
 239000      8.27e-01      8.25e-03      8.66e-02    9.0e-05
 240000      8.78e-01      1.31e-03      9.45e-02    8.5e-05
 241000      1.33e+00      5.34e-03      1.43e-01    8.5e-05
 242000      8.40e-01      1.85e-03      9.04e-02    8.5e-05
 243000      9.45e-01      4.73e-04      1.02e-01    8.5e-05
 244000      8.41e-01      2.14e-03      9.04e-02    8.5e-05
 245000      7.12e-01      1.28e-02      7.81e-02    8.1e-05
 246000      7.65e-01      2.27e-03      8.44e-02    8.1e-05
 247000      7.17e-01      2.92e-03      7.92e-02    8.1e-05
 248000      8.66e-01      2.44e-03      9.55e-02    8.1e-05
 249000      7.47e-01      1.17e-02      7.86e-02    8.1e-05
 250000      8.78e-01      9.96e-04      9.95e-02    7.7e-05
 251000      8.49e-02      5.14e-03      8.76e-03    7.7e-05
 252000      5.22e-01      6.55e-03      5.90e-02    7.7e-05
 253000      8.25e-02      1.39e-03      9.28e-03    7.7e-05
 254000      7.82e-01      2.46e-04      8.86e-02    7.7e-05
 255000      7.91e-01      3.02e-03      9.19e-02    7.3e-05
 256000      7.02e-01      9.33e-04      8.16e-02    7.3e-05
 257000      6.36e-01      7.77e-03      7.18e-02    7.3e-05
 258000      8.11e-01      1.06e-04      9.42e-02    7.3e-05
 259000      7.64e-01      2.82e-03      8.85e-02    7.3e-05
 260000      8.70e-01      8.77e-03      1.02e-01    6.9e-05
 261000      6.55e-01      2.68e-04      7.81e-02    6.9e-05
 262000      8.20e-01      1.04e-03      9.77e-02    6.9e-05
 263000      7.04e-02      5.37e-03      7.17e-03    6.9e-05
 264000      7.62e-01      4.29e-03      9.03e-02    6.9e-05
 265000      5.79e-01      3.64e-03      7.07e-02    6.6e-05
 266000      6.12e-02      3.27e-03      6.96e-03    6.6e-05
 267000      7.61e-01      2.81e-03      9.27e-02    6.6e-05
 268000      8.14e-01      2.24e-03      9.94e-02    6.6e-05
 269000      8.74e-01      2.18e-02      9.36e-02    6.6e-05
 270000      5.45e-01      8.87e-04      6.83e-02    6.3e-05
 271000      7.52e-01      8.56e-04      9.43e-02    6.3e-05
 272000      6.78e-01      2.30e-03      8.49e-02    6.3e-05
 273000      7.14e-01      2.82e-03      8.93e-02    6.3e-05
 274000      7.10e-01      2.21e-03      8.89e-02    6.3e-05
 275000      7.21e-01      3.36e-04      9.28e-02    6.0e-05
 276000      1.18e-01      4.86e-03      1.46e-02    6.0e-05
 277000      6.99e-01      7.05e-03      8.81e-02    6.0e-05
 278000      7.46e-01      1.57e-03      9.59e-02    6.0e-05
 279000      6.75e-01      1.88e-03      8.66e-02    6.0e-05
 280000      6.82e-01      4.14e-04      8.99e-02    5.7e-05
 281000      5.46e-01      4.07e-03      7.20e-02    5.7e-05
 282000      6.02e-01      5.79e-04      7.93e-02    5.7e-05
 283000      7.98e-01      3.08e-03      1.05e-01    5.7e-05
 284000      6.76e-01      1.07e-03      8.91e-02    5.7e-05
 285000      6.07e-01      4.12e-05      8.20e-02    5.4e-05
 286000      4.82e-01      1.32e-02      6.40e-02    5.4e-05
 287000      9.85e-01      3.57e-03      1.33e-01    5.4e-05
 288000      5.78e-01      9.72e-03      7.76e-02    5.4e-05
 289000      6.19e-01      3.96e-03      8.30e-02    5.4e-05
 290000      4.02e-01      1.85e-02      5.29e-02    5.1e-05
 291000      6.38e-01      1.53e-03      8.85e-02    5.1e-05
 292000      6.58e-01      5.91e-03      9.10e-02    5.1e-05
 293000      5.58e-01      3.37e-04      7.74e-02    5.1e-05
 294000      3.29e-01      7.95e-03      4.50e-02    5.1e-05
 295000      6.39e-01      9.18e-04      9.08e-02    4.9e-05
