#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 300000      1.62e+00      3.56e-02      5.96e-02    7.4e-04
 301000      1.27e+00      7.31e-04      4.67e-02    7.4e-04
 302000      1.21e+00      8.76e-02      4.37e-02    7.4e-04
 303000      4.03e-01      5.34e-02      1.43e-02    7.4e-04
 304000      2.16e-01      1.45e-02      7.79e-03    7.4e-04
 305000      3.29e-01      6.50e-02      9.79e-03    7.4e-04
 306000      1.34e+00      1.12e-03      4.94e-02    7.4e-04
 307000      2.98e+00      1.38e-02      1.10e-01    7.4e-04
 308000      3.86e-01      6.24e-02      1.25e-02    7.4e-04
 309000      2.14e-01      3.94e-02      7.29e-03    7.4e-04
 310000      1.89e-01      2.28e-02      6.51e-03    7.4e-04
 311000      1.03e+00      8.18e-02      3.69e-02    7.4e-04
 312000      1.99e+00      9.39e-02      7.26e-02    7.4e-04
 313000      4.61e-01      2.06e-01      5.51e-03    7.4e-04
 314000      4.20e-01      1.02e-01      1.06e-02    7.4e-04
 315000      1.64e+00      1.35e-01      5.86e-02    7.4e-04
 316000      3.33e-01      3.52e-02      1.20e-02    7.4e-04
 317000      1.49e+00      1.50e-02      5.49e-02    7.4e-04
 318000      3.71e+00      1.58e-02      1.37e-01    7.4e-04
 319000      1.77e+00      2.67e-02      6.53e-02    7.4e-04
 320000      1.26e+00      9.20e-03      4.66e-02    7.4e-04
 321000      2.58e+00      6.33e-02      9.50e-02    7.4e-04
 322000      2.81e-01      1.25e-03      1.03e-02    7.4e-04
 323000      1.62e+00      1.32e-02      5.97e-02    7.4e-04
 324000      1.61e+00      2.19e-03      5.96e-02    7.4e-04
 325000      1.50e+00      3.25e-03      5.53e-02    7.4e-04
 326000      1.90e+00      3.37e-02      7.00e-02    7.4e-04
 327000      1.66e-01      1.00e-02      6.01e-03    7.4e-04
 328000      1.51e+00      3.16e-02      5.54e-02    7.4e-04
 329000      9.96e-01      2.47e-02      3.67e-02    7.4e-04
 330000      2.64e-01      8.57e-02      2.36e-03    7.4e-04
 331000      9.08e-01      7.94e-03      3.35e-02    7.4e-04
 332000      1.33e+00      9.59e-03      4.90e-02    7.4e-04
 333000      2.22e+00      1.41e-01      8.06e-02    7.4e-04
 334000      1.45e+00      4.20e-02      5.33e-02    7.4e-04
 335000      1.88e+00      1.52e-02      6.93e-02    7.4e-04
 336000      5.03e-01      9.26e-02      1.55e-02    7.4e-04
 337000      1.88e+00      5.96e-02      6.91e-02    7.4e-04
 338000      4.85e-01      1.16e-01      1.25e-02    7.4e-04
 339000      1.32e+00      2.83e-02      4.86e-02    7.4e-04
 340000      1.60e+00      5.35e-02      5.87e-02    7.4e-04
 341000      1.24e+00      6.24e-02      4.54e-02    7.4e-04
 342000      1.79e+00      1.30e-02      6.60e-02    7.4e-04
 343000      1.43e+00      9.95e-03      5.27e-02    7.4e-04
 344000      1.40e+00      5.11e-02      5.13e-02    7.4e-04
 345000      5.65e-01      1.84e-02      2.08e-02    7.4e-04
 346000      1.34e+00      6.72e-03      4.95e-02    7.4e-04
 347000      3.13e-01      4.61e-02      1.04e-02    7.4e-04
 348000      2.08e-01      5.90e-02      6.13e-03    7.4e-04
 349000      2.23e+00      6.37e-02      8.19e-02    7.4e-04
 350000      3.41e-01      9.31e-02      6.40e-03    7.0e-04
 351000      1.11e+00      4.47e-02      4.17e-02    7.0e-04
 352000      5.23e-01      4.39e-02      1.91e-02    7.0e-04
 353000      1.53e+00      2.68e-02      5.79e-02    7.0e-04
 354000      1.90e-01      3.27e-02      6.00e-03    7.0e-04
 355000      3.06e-01      1.86e-02      1.15e-02    7.0e-04
 356000      1.46e+00      4.72e-02      5.51e-02    7.0e-04
 357000      2.42e-01      1.72e-02      8.92e-03    7.0e-04
 358000      2.05e-01      4.79e-02      5.21e-03    7.0e-04
 359000      2.35e+00      1.23e-02      8.90e-02    7.0e-04
 360000      7.56e-01      9.48e-02      2.74e-02    7.0e-04
 361000      1.04e+00      9.70e-03      3.95e-02    7.0e-04
 362000      3.72e-01      1.01e-01      7.07e-03    7.0e-04
 363000      1.47e+00      7.92e-03      5.54e-02    7.0e-04
 364000      8.33e-01      3.99e-02      3.11e-02    7.0e-04
 365000      7.18e-01      3.61e-02      2.70e-02    7.0e-04
 366000      1.22e+00      3.26e-02      4.58e-02    7.0e-04
 367000      6.49e-01      7.09e-02      2.38e-02    7.0e-04
 368000      8.37e-01      6.62e-02      3.14e-02    7.0e-04
 369000      1.32e+00      7.80e-02      4.82e-02    7.0e-04
 370000      1.28e+00      3.70e-02      4.84e-02    7.0e-04
 371000      4.19e+00      2.01e-03      1.58e-01    7.0e-04
 372000      3.39e-01      2.29e-02      1.25e-02    7.0e-04
 373000      1.59e+00      4.31e-02      5.98e-02    7.0e-04
 374000      3.50e-01      6.43e-04      1.33e-02    7.0e-04
 375000      8.73e-01      6.18e-03      3.30e-02    7.0e-04
 376000      1.36e+00      6.09e-02      5.13e-02    7.0e-04
 377000      1.12e+00      4.04e-02      4.19e-02    7.0e-04
 378000      7.33e-01      1.99e-02      2.76e-02    7.0e-04
 379000      1.63e-01      6.14e-04      6.18e-03    7.0e-04
 380000      2.19e+00      9.85e-02      8.24e-02    7.0e-04
 381000      1.24e+00      3.04e-02      4.67e-02    7.0e-04
 382000      1.86e-01      1.08e-02      6.91e-03    7.0e-04
 383000      2.93e-01      6.06e-02      8.37e-03    7.0e-04
 384000      1.38e+00      4.10e-02      5.18e-02    7.0e-04
 385000      9.98e-01      2.22e-02      3.77e-02    7.0e-04
 386000      1.66e+00      9.61e-02      6.18e-02    7.0e-04
 387000      8.42e-01      9.09e-02      2.99e-02    7.0e-04
 388000      1.44e+00      2.89e-02      5.44e-02    7.0e-04
 389000      1.80e+00      2.12e-01      6.59e-02    7.0e-04
 390000      1.74e+00      3.98e-02      6.57e-02    7.0e-04
 391000      1.43e+00      6.20e-03      5.43e-02    7.0e-04
 392000      2.32e-01      1.48e-02      8.58e-03    7.0e-04
 393000      1.32e+00      6.11e-03      5.00e-02    7.0e-04
 394000      1.27e+00      2.73e-02      4.79e-02    7.0e-04
 395000      1.52e+00      7.12e-03      5.77e-02    7.0e-04
 396000      2.47e+00      6.63e-03      9.33e-02    7.0e-04
 397000      6.54e-01      1.94e-02      2.46e-02    7.0e-04
 398000      9.11e-01      1.88e-02      3.44e-02    7.0e-04
